************************************************************************
Output generated by CrystalDiffract 6 for Windows                       
Copyright (c) 1996-2018 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************

This file looks best in a non-proportional font, e.g., Courier

  h   k   l    d(hkl)  2-Theta    Intensity  I/Imax   m    N       Lp
  3   1  -2   1.70013    .5882  2.79163e+02    0.1%   2   14   91.864
  1   3  -2   1.70013    .5882  5.28399e+02    0.1%   2   14   91.864
 -2   1   3   1.70013    .5882  1.58960e+02    0.0%   2   14   91.864
  1   2  -3   1.70013    .5882  6.59505e+02    0.1%   2   14   91.864
  2  -3   1   1.70013    .5882  1.47192e+02    0.0%   2   14   91.864
  2   1  -3   1.70013    .5882  1.58977e+02    0.0%   2   14   91.864
 -3   2   1   1.70013    .5882  5.19273e+02    0.1%   2   14   91.864
  1  -3   2   1.70013    .5882  5.28409e+02    0.1%   2   14   91.864
 -3   1   2   1.70013    .5882  2.79121e+02    0.1%   2   14   91.864
  4   0   0   1.59033    .6288  4.66897e+04   10.1%   2   16   85.931
  0   0   4   1.59033    .6288  6.14589e+04   13.3%   2   16   85.931
  0   4   0   1.59033    .6288  4.94287e+04   10.7%   2   16   85.931
  2   2   3   1.54284    .6482  1.25717e+04    2.7%   2   17   83.365
  3   2   2   1.54284    .6482  1.31306e+04    2.8%   2   17   83.365
  2   3   2   1.54284    .6482  1.23326e+04    2.7%   2   17   83.365
  0   1   4   1.54284    .6482  4.62274e+03    1.0%   2   17   83.365
  4   1   0   1.54284    .6482  9.21463e+03    2.0%   2   17   83.365
  1   4   0   1.54284    .6482  9.09420e+03    2.0%   2   17   83.365
  0   4   1   1.54284    .6482  7.44996e+03    1.6%   2   17   83.365
  4   0   1   1.54284    .6482  8.47814e+03    1.8%   2   17   83.365
  1   0   4   1.54284    .6482  6.90448e+03    1.5%   2   17   83.365
  4  -1   0   1.54284    .6482  9.21459e+03    2.0%   2   17   83.365
  1   0  -4   1.54284    .6482  6.90448e+03    1.5%   2   17   83.365
  0   1  -4   1.54284    .6482  4.62274e+03    1.0%   2   17   83.365
  4   0  -1   1.54284    .6482  8.47814e+03    1.8%   2   17   83.365
  0   4  -1   1.54284    .6482  7.44996e+03    1.6%   2   17   83.365
  1  -4   0   1.54284    .6482  9.09417e+03    2.0%   2   17   83.365
  3   2  -2   1.54284    .6482  1.31306e+04    2.8%   2   17   83.365
  2   3  -2   1.54284    .6482  1.23326e+04    2.7%   2   17   83.365
  2  -2   3   1.54284    .6482  1.25717e+04    2.7%   2   17   83.365
 -2   3   2   1.54284    .6482  1.23326e+04    2.7%   2   17   83.365
 -2   2   3   1.54284    .6482  1.25717e+04    2.7%   2   17   83.365
  3  -2   2   1.54284    .6482  1.31306e+04    2.8%   2   17   83.365
  2  -3   2   1.54284    .6482  1.23326e+04    2.7%   2   17   83.365
  2   2  -3   1.54284    .6482  1.25717e+04    2.7%   2   17   83.365
 -3   2   2   1.54284    .6482  1.31306e+04    2.8%   2   17   83.365
  3   0   3   1.49937    .6669  1.66778e+01    0.0%   2   18   81.017
  4   1   1   1.49937    .6669  3.40048e+02    0.1%   2   18   81.017
  0   3   3   1.49937    .6669  8.26764e+02    0.2%   2   18   81.017
  3   3   0   1.49937    .6669  3.13953e+02    0.1%   2   18   81.017
