************************************************************************
Output generated by CrystalDiffract 6 for Windows                       
Copyright (c) 1996-2018 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************

This file looks best in a non-proportional font, e.g., Courier

  h   k   l    d(hkl)  2-Theta    Intensity  I/Imax   m    N       Lp
  5   0   5   0.89962   1.1116  1.69109e+02    0.0%   2   50   48.610
  5   5   0   0.89962   1.1116  7.79844e+01    0.0%   2   50   48.610
  1   7   0   0.89962   1.1116  2.17952e+01    0.0%   2   50   48.610
  7   0   1   0.89962   1.1116  3.92347e+01    0.0%   2   50   48.610
  7   1   0   0.89962   1.1116  4.45944e+01    0.0%   2   50   48.610
  0   1   7   0.89962   1.1116  2.04595e+02    0.0%   2   50   48.610
  0   7   1   0.89962   1.1116  5.21288e+01    0.0%   2   50   48.610
  1   0   7   0.89962   1.1116  1.04255e+02    0.0%   2   50   48.610
  7  -1   0   0.89962   1.1116  4.45937e+01    0.0%   2   50   48.610
  5   4  -3   0.89962   1.1116  8.49927e+01    0.0%   2   50   48.610
  7   0  -1   0.89962   1.1116  3.92347e+01    0.0%   2   50   48.610
  0   7  -1   0.89962   1.1116  5.21288e+01    0.0%   2   50   48.610
  4  -3   5   0.89962   1.1116  2.59131e+01    0.0%   2   50   48.610
 -3   5   4   0.89962   1.1116  4.82496e+01    0.0%   2   50   48.610
  1  -7   0   0.89962   1.1116  2.17952e+01    0.0%   2   50   48.610
  0   1  -7   0.89962   1.1116  2.04595e+02    0.0%   2   50   48.610
  4   5  -3   0.89962   1.1116  2.37744e+01    0.0%   2   50   48.610
  5  -3   4   0.89962   1.1116  7.74634e+01    0.0%   2   50   48.610
  1   0  -7   0.89962   1.1116  1.04255e+02    0.0%   2   50   48.610
 -3   4   5   0.89962   1.1116  3.23283e+01    0.0%   2   50   48.610
 -4   5   3   0.89962   1.1116  2.37753e+01    0.0%   2   50   48.610
 -4   3   5   0.89962   1.1116  2.59131e+01    0.0%   2   50   48.610
  5  -4   3   0.89962   1.1116  8.49985e+01    0.0%   2   50   48.610
  3  -4   5   0.89962   1.1116  3.23283e+01    0.0%   2   50   48.610
  5   3  -4   0.89962   1.1116  7.74588e+01    0.0%   2   50   48.610
  3   5  -4   0.89962   1.1116  4.82507e+01    0.0%   2   50   48.610
 -5   3   4   0.89962   1.1116  7.74634e+01    0.0%   2   50   48.610
  4  -5   3   0.89962   1.1116  2.37753e+01    0.0%   2   50   48.610
  3  -5   4   0.89962   1.1116  4.82496e+01    0.0%   2   50   48.610
  4   3  -5   0.89962   1.1116  2.59124e+01    0.0%   2   50   48.610
 -5   4   3   0.89962   1.1116  8.49985e+01    0.0%   2   50   48.610
  3   4  -5   0.89962   1.1116  3.23300e+01    0.0%   2   50   48.610
  5  -5   0   0.89962   1.1116  7.79896e+01    0.0%   2   50   48.610
  0   5  -5   0.89962   1.1116  6.85026e+01    0.0%   2   50   48.610
  5   0  -5   0.89962   1.1116  1.69109e+02    0.0%   2   50   48.610
  5   5   1   0.89076   1.1226  7.58224e+02    0.2%   2   51   48.131
  1   5   5   0.89076   1.1226  6.15463e+02    0.1%   2   51   48.131
  5   1   5   0.89076   1.1226  9.22840e+02    0.2%   2   51   48.131
  7   1   1   0.89076   1.1226  6.29071e+02    0.1%   2   51   48.131
  5  -1   5   0.89076   1.1226  9.22847e+02    0.2%   2   51   48.131
  1   7   1   0.89076   1.1226  5.23989e+02    0.1%   2   51   48.131
  5   5  -1   0.89076   1.1226  7.58224e+02    0.2%   2   51   48.131
 -1   5   5   0.89076   1.1226  6.15465e+02    0.1%   2   51   48.131
  1   1   7   0.89076   1.1226  7.88694e+02    0.2%   2   51   48.131
 -1   7   1   0.89076   1.1226  5.23990e+02    0.1%   2   51   48.131
  7  -1   1   0.89076   1.1226  6.29073e+02    0.1%   2   51   48.131
  1   7  -1   0.89076   1.1226  5.23989e+02    0.1%   2   51   48.131
  7   1  -1   0.89076   1.1226  6.29071e+02    0.1%   2   51   48.131
 -1   1   7   0.89076   1.1226  7.88695e+02    0.2%   2   51   48.131
  1  -1   7   0.89076   1.1226  7.88695e+02    0.2%   2   51   48.131
  1   1  -7   0.89076   1.1226  7.88694e+02    0.2%   2   51   48.131
  1  -7   1   0.89076   1.1226  5.23990e+02    0.1%   2   51   48.131
 -7   1   1   0.89076   1.1226  6.29073e+02    0.1%   2   51   48.131
  5  -5   1   0.89076   1.1226  7.58242e+02    0.2%   2   51   48.131
 -5   5   1   0.89076   1.1226  7.58242e+02    0.2%   2   51   48.131
 -5   1   5   0.89076   1.1226  9.22847e+02    0.2%   2   51   48.131
  5   1  -5   0.89076   1.1226  9.22840e+02    0.2%   2   51   48.131
  1   5  -5   0.89076   1.1226  6.15463e+02    0.1%   2   51   48.131
  1  -5   5   0.89076   1.1226  6.15465e+02    0.1%   2   51   48.131
  6   4   0   0.88215   1.1336  4.18497e+03    0.9%   2   52   47.666
  4   0   6   0.88215   1.1336  4.04555e+03    0.9%   2   52   47.666
  6   0   4   0.88215   1.1336  4.78586e+03    1.0%   2   52   47.666
  4   6   0   0.88215   1.1336  3.43839e+03    0.7%   2   52   47.666
  0   6   4   0.88215   1.1336  3.83229e+03    0.8%   2   52   47.666
  0   4   6   0.88215   1.1336  4.27851e+03    0.9%   2   52   47.666
  4  -6   0   0.88215   1.1336  3.43839e+03    0.7%   2   52   47.666
  0   6  -4   0.88215   1.1336  3.83229e+03    0.8%   2   52   47.666
  6   0  -4   0.88215   1.1336  4.78586e+03    1.0%   2   52   47.666
  4   0  -6   0.88215   1.1336  4.04555e+03    0.9%   2   52   47.666
  0   4  -6   0.88215   1.1336  4.27851e+03    0.9%   2   52   47.666
  6  -4   0   0.88215   1.1336  4.18502e+03    0.9%   2   52   47.666
  4   1   6   0.87379   1.1444  9.38278e+02    0.2%   2   53   47.214
  6   4   1   0.87379   1.1444  8.21906e+02    0.2%   2   53   47.214
  4   6   1   0.87379   1.1444  1.19744e+03    0.3%   2   53   47.214
  1   6   4   0.87379   1.1444  1.07241e+03    0.2%   2   53   47.214
  6   1   4   0.87379   1.1444  6.33854e+02    0.1%   2   53   47.214
  1   4   6   0.87379   1.1444  9.18088e+02    0.2%   2   53   47.214
  7   2   0   0.87379   1.1444  9.93320e+02    0.2%   2   53   47.214
  0   2   7   0.87379   1.1444  6.86959e+02    0.1%   2   53   47.214
  0   7   2   0.87379   1.1444  1.14212e+03    0.2%   2   53   47.214
  4  -1   6   0.87379   1.1444  9.38275e+02    0.2%   2   53   47.214
  2   0   7   0.87379   1.1444  1.18776e+03    0.3%   2   53   47.214
  6  -1   4   0.87379   1.1444  6.33848e+02    0.1%   2   53   47.214
 -1   4   6   0.87379   1.1444  9.18085e+02    0.2%   2   53   47.214
  7   0   2   0.87379   1.1444  9.63909e+02    0.2%   2   53   47.214
  2   7   0   0.87379   1.1444  1.26150e+03    0.3%   2   53   47.214
  4   6  -1   0.87379   1.1444  1.19744e+03    0.3%   2   53   47.214
 -1   6   4   0.87379   1.1444  1.07240e+03    0.2%   2   53   47.214
  6   4  -1   0.87379   1.1444  8.21906e+02    0.2%   2   53   47.214
  2  -7   0   0.87379   1.1444  1.26150e+03    0.3%   2   53   47.214
  7   0  -2   0.87379   1.1444  9.63909e+02    0.2%   2   53   47.214
  2   0  -7   0.87379   1.1444  1.18776e+03    0.3%   2   53   47.214
  7  -2   0   0.87379   1.1444  9.93311e+02    0.2%   2   53   47.214
  0   2  -7   0.87379   1.1444  6.86959e+02    0.1%   2   53   47.214
  0   7  -2   0.87379   1.1444  1.14212e+03    0.2%   2   53   47.214
  1  -4   6   0.87379   1.1444  9.18085e+02    0.2%   2   53   47.214
 -4   6   1   0.87379   1.1444  1.19744e+03    0.3%   2   53   47.214
  1   6  -4   0.87379   1.1444  1.07241e+03    0.2%   2   53   47.214
  6   1  -4   0.87379   1.1444  6.33854e+02    0.1%   2   53   47.214
 -4   1   6   0.87379   1.1444  9.38275e+02    0.2%   2   53   47.214
  6  -4   1   0.87379   1.1444  8.21886e+02    0.2%   2   53   47.214
  1  -6   4   0.87379   1.1444  1.07240e+03    0.2%   2   53   47.214
 -6   1   4   0.87379   1.1444  6.33848e+02    0.1%   2   53   47.214
  4  -6   1   0.87379   1.1444  1.19744e+03    0.3%   2   53   47.214
  4   1  -6   0.87379   1.1444  9.38278e+02    0.2%   2   53   47.214
  1   4  -6   0.87379   1.1444  9.18088e+02    0.2%   2   53   47.214
 -6   4   1   0.87379   1.1444  8.21886e+02    0.2%   2   53   47.214
  5   2   5   0.86566   1.1552  7.44047e+01    0.0%   2   54   46.775
  6   3   3   0.86566   1.1552  8.02592e+01    0.0%   2   54   46.775
  3   6   3   0.86566   1.1552  4.10613e+01    0.0%   2   54   46.775
  2   5   5   0.86566   1.1552  1.44038e+01    0.0%   2   54   46.775
  5   5   2   0.86566   1.1552  6.42725e+01    0.0%   2   54   46.775
  3   3   6   0.86566   1.1552  2.23405e+01    0.0%   2   54   46.775
  7   1   2   0.86566   1.1552  3.69245e+01    0.0%   2   54   46.775
  2   7   1   0.86566   1.1552  1.44463e+01    0.0%   2   54   46.775
  7   2   1   0.86566   1.1552  3.71796e+01    0.0%   2   54   46.775
  1   7   2   0.86566   1.1552  1.83060e+01    0.0%   2   54   46.775
  2   1   7   0.86566   1.1552  1.09491e+01    0.0%   2   54   46.775
  1   2   7   0.86566   1.1552  5.12322e+01    0.0%   2   54   46.775
  5  -2   5   0.86566   1.1552  7.44076e+01    0.0%   2   54   46.775
  7  -1   2   0.86566   1.1552  3.69240e+01    0.0%   2   54   46.775
  2   7  -1   0.86566   1.1552  1.44463e+01    0.0%   2   54   46.775
 -1   7   2   0.86566   1.1552  1.83060e+01    0.0%   2   54   46.775
  7   2  -1   0.86566   1.1552  3.71796e+01    0.0%   2   54   46.775
 -2   5   5   0.86566   1.1552  1.44035e+01    0.0%   2   54   46.775
  5   5  -2   0.86566   1.1552  6.42725e+01    0.0%   2   54   46.775
  2  -1   7   0.86566   1.1552  1.09485e+01    0.0%   2   54   46.775
 -1   2   7   0.86566   1.1552  5.12326e+01    0.0%   2   54   46.775
 -2   1   7   0.86566   1.1552  1.09485e+01    0.0%   2   54   46.775
  1  -2   7   0.86566   1.1552  5.12326e+01    0.0%   2   54   46.775
 -3   6   3   0.86566   1.1552  4.10612e+01    0.0%   2   54   46.775
 -3   3   6   0.86566   1.1552  2.23388e+01    0.0%   2   54   46.775
 -2   7   1   0.86566   1.1552  1.44461e+01    0.0%   2   54   46.775
  7   1  -2   0.86566   1.1552  3.69245e+01    0.0%   2   54   46.775
  3   6  -3   0.86566   1.1552  4.10613e+01    0.0%   2   54   46.775
  6   3  -3   0.86566   1.1552  8.02592e+01    0.0%   2   54   46.775
  7  -2   1   0.86566   1.1552  3.71797e+01    0.0%   2   54   46.775
  6  -3   3   0.86566   1.1552  8.02648e+01    0.0%   2   54   46.775
  1   7  -2   0.86566   1.1552  1.83060e+01    0.0%   2   54   46.775
  3  -3   6   0.86566   1.1552  2.23388e+01    0.0%   2   54   46.775
 -7   2   1   0.86566   1.1552  3.71797e+01    0.0%   2   54   46.775
 -7   1   2   0.86566   1.1552  3.69240e+01    0.0%   2   54   46.775
  2  -7   1   0.86566   1.1552  1.44461e+01    0.0%   2   54   46.775
  1  -7   2   0.86566   1.1552  1.83060e+01    0.0%   2   54   46.775
  2   1  -7   0.86566   1.1552  1.09491e+01    0.0%   2   54   46.775
  1   2  -7   0.86566   1.1552  5.12322e+01    0.0%   2   54   46.775
  5   2  -5   0.86566   1.1552  7.44047e+01    0.0%   2   54   46.775
  2   5  -5   0.86566   1.1552  1.44038e+01    0.0%   2   54   46.775
  2  -5   5   0.86566   1.1552  1.44035e+01    0.0%   2   54   46.775
 -5   2   5   0.86566   1.1552  7.44076e+01    0.0%   2   54   46.775
  5  -5   2   0.86566   1.1552  6.42767e+01    0.0%   2   54   46.775
 -5   5   2   0.86566   1.1552  6.42767e+01    0.0%   2   54   46.775
 -6   3   3   0.86566   1.1552  8.02648e+01    0.0%   2   54   46.775
  3  -6   3   0.86566   1.1552  4.10612e+01    0.0%   2   54   46.775
  3   3  -6   0.86566   1.1552  2.23405e+01    0.0%   2   54   46.775
  6   4   2   0.85006   1.1764  3.47299e+03    0.7%   2   56   45.932
  4   6   2   0.85006   1.1764  2.86304e+03    0.6%   2   56   45.932
  6   2   4   0.85006   1.1764  3.68708e+03    0.8%   2   56   45.932
  2   4   6   0.85006   1.1764  2.84479e+03    0.6%   2   56   45.932
  4   2   6   0.85006   1.1764  3.11282e+03    0.7%   2   56   45.932
  2   6   4   0.85006   1.1764  2.66862e+03    0.6%   2   56   45.932
  4  -2   6   0.85006   1.1764  3.11283e+03    0.7%   2   56   45.932
 -2   6   4   0.85006   1.1764  2.66861e+03    0.6%   2   56   45.932
  6  -2   4   0.85006   1.1764  3.68711e+03    0.8%   2   56   45.932
 -2   4   6   0.85006   1.1764  2.84479e+03    0.6%   2   56   45.932
  6   4  -2   0.85006   1.1764  3.47299e+03    0.7%   2   56   45.932
  4   6  -2   0.85006   1.1764  2.86304e+03    0.6%   2   56   45.932
  6  -4   2   0.85006   1.1764  3.47302e+03    0.7%   2   56   45.932
 -4   6   2   0.85006   1.1764  2.86304e+03    0.6%   2   56   45.932
  2  -4   6   0.85006   1.1764  2.84479e+03    0.6%   2   56   45.932
  6   2  -4   0.85006   1.1764  3.68708e+03    0.8%   2   56   45.932
  2   6  -4   0.85006   1.1764  2.66862e+03    0.6%   2   56   45.932
 -4   2   6   0.85006   1.1764  3.11283e+03    0.7%   2   56   45.932
  4  -6   2   0.85006   1.1764  2.86304e+03    0.6%   2   56   45.932
  2  -6   4   0.85006   1.1764  2.66861e+03    0.6%   2   56   45.932
  2   4  -6   0.85006   1.1764  2.84479e+03    0.6%   2   56   45.932
 -6   2   4   0.85006   1.1764  3.68711e+03    0.8%   2   56   45.932
 -6   4   2   0.85006   1.1764  3.47302e+03    0.7%   2   56   45.932
  4   2  -6   0.85006   1.1764  3.11282e+03    0.7%   2   56   45.932
  4   4   5   0.84257   1.1868  8.92244e+02    0.2%   2   57   45.527
  4   5   4   0.84257   1.1868  9.34452e+02    0.2%   2   57   45.527
  5   4   4   0.84257   1.1868  6.73302e+02    0.1%   2   57   45.527
  2   7   2   0.84257   1.1868  1.04878e+03    0.2%   2   57   45.527
  7   2   2   0.84257   1.1868  8.29304e+02    0.2%   2   57   45.527
  2   2   7   0.84257   1.1868  9.95157e+02    0.2%   2   57   45.527
  7  -2   2   0.84257   1.1868  8.29297e+02    0.2%   2   57   45.527
 -2   7   2   0.84257   1.1868  1.04878e+03    0.2%   2   57   45.527
  7   2  -2   0.84257   1.1868  8.29304e+02    0.2%   2   57   45.527
  2   7  -2   0.84257   1.1868  1.04878e+03    0.2%   2   57   45.527
 -2   2   7   0.84257   1.1868  9.95155e+02    0.2%   2   57   45.527
  2  -2   7   0.84257   1.1868  9.95155e+02    0.2%   2   57   45.527
 -4   4   5   0.84257   1.1868  8.92239e+02    0.2%   2   57   45.527
  4   5  -4   0.84257   1.1868  9.34452e+02    0.2%   2   57   45.527
  5   4  -4   0.84257   1.1868  6.73302e+02    0.1%   2   57   45.527
 -4   5   4   0.84257   1.1868  9.34448e+02    0.2%   2   57   45.527
  4  -4   5   0.84257   1.1868  8.92239e+02    0.2%   2   57   45.527
  5  -4   4   0.84257   1.1868  6.73288e+02    0.1%   2   57   45.527
  2   2  -7   0.84257   1.1868  9.95157e+02    0.2%   2   57   45.527
 -7   2   2   0.84257   1.1868  8.29297e+02    0.2%   2   57   45.527
  2  -7   2   0.84257   1.1868  1.04878e+03    0.2%   2   57   45.527
  4  -5   4   0.84257   1.1868  9.34448e+02    0.2%   2   57   45.527
 -5   4   4   0.84257   1.1868  6.73288e+02    0.1%   2   57   45.527
  4   4  -5   0.84257   1.1868  8.92244e+02    0.2%   2   57   45.527
  7   0   3   0.83528   1.1972  2.74984e+01    0.0%   2   58   45.133
  3   0   7   0.83528   1.1972  5.55551e+00    0.0%   2   58   45.133
  0   7   3   0.83528   1.1972  3.50959e+01    0.0%   2   58   45.133
  3   7   0   0.83528   1.1972  2.01152e+01    0.0%   2   58   45.133
  7   3   0   0.83528   1.1972  2.56599e+01    0.0%   2   58   45.133
  0   3   7   0.83528   1.1972  6.89373e+01    0.0%   2   58   45.133
  3  -7   0   0.83528   1.1972  2.01153e+01    0.0%   2   58   45.133
  7   0  -3   0.83528   1.1972  2.74984e+01    0.0%   2   58   45.133
  0   7  -3   0.83528   1.1972  3.50959e+01    0.0%   2   58   45.133
  3   0  -7   0.83528   1.1972  5.55551e+00    0.0%   2   58   45.133
  0   3  -7   0.83528   1.1972  6.89373e+01    0.0%   2   58   45.133
  7  -3   0   0.83528   1.1972  2.56607e+01    0.0%   2   58   45.133
  3   5   5   0.82817   1.2075  2.48255e+02    0.1%   2   59   44.749
  5   5   3   0.82817   1.2075  5.16370e+02    0.1%   2   59   44.749
  5   3   5   0.82817   1.2075  5.16629e+02    0.1%   2   59   44.749
  3   1   7   0.82817   1.2075  3.22184e+02    0.1%   2   59   44.749
  7   1   3   0.82817   1.2075  4.30057e+02    0.1%   2   59   44.749
  1   3   7   0.82817   1.2075  4.65373e+02    0.1%   2   59   44.749
  3   7   1   0.82817   1.2075  2.49258e+02    0.1%   2   59   44.749
  7   3   1   0.82817   1.2075  4.12921e+02    0.1%   2   59   44.749
  1   7   3   0.82817   1.2075  3.60416e+02    0.1%   2   59   44.749
  3  -1   7   0.82817   1.2075  3.22183e+02    0.1%   2   59   44.749
  3   7  -1   0.82817   1.2075  2.49258e+02    0.1%   2   59   44.749
  7  -1   3   0.82817   1.2075  4.30059e+02    0.1%   2   59   44.749
 -1   3   7   0.82817   1.2075  4.65375e+02    0.1%   2   59   44.749
  7   3  -1   0.82817   1.2075  4.12921e+02    0.1%   2   59   44.749
 -1   7   3   0.82817   1.2075  3.60417e+02    0.1%   2   59   44.749
 -3   5   5   0.82817   1.2075  2.48252e+02    0.1%   2   59   44.749
  5   5  -3   0.82817   1.2075  5.16370e+02    0.1%   2   59   44.749
  5  -3   5   0.82817   1.2075  5.16639e+02    0.1%   2   59   44.749
 -3   1   7   0.82817   1.2075  3.22183e+02    0.1%   2   59   44.749
  7  -3   1   0.82817   1.2075  4.12925e+02    0.1%   2   59   44.749
  1  -3   7   0.82817   1.2075  4.65375e+02    0.1%   2   59   44.749
  1   7  -3   0.82817   1.2075  3.60416e+02    0.1%   2   59   44.749
 -3   7   1   0.82817   1.2075  2.49253e+02    0.1%   2   59   44.749
  7   1  -3   0.82817   1.2075  4.30057e+02    0.1%   2   59   44.749
  3   1  -7   0.82817   1.2075  3.22184e+02    0.1%   2   59   44.749
  3  -7   1   0.82817   1.2075  2.49253e+02    0.1%   2   59   44.749
 -7   3   1   0.82817   1.2075  4.12925e+02    0.1%   2   59   44.749
  1  -7   3   0.82817   1.2075  3.60417e+02    0.1%   2   59   44.749
 -7   1   3   0.82817   1.2075  4.30059e+02    0.1%   2   59   44.749
  1   3  -7   0.82817   1.2075  4.65373e+02    0.1%   2   59   44.749
  3   5  -5   0.82817   1.2075  2.48255e+02    0.1%   2   59   44.749
  5   3  -5   0.82817   1.2075  5.16629e+02    0.1%   2   59   44.749
  5  -5   3   0.82817   1.2075  5.16381e+02    0.1%   2   59   44.749
 -5   3   5   0.82817   1.2075  5.16639e+02    0.1%   2   59   44.749
  3  -5   5   0.82817   1.2075  2.48252e+02    0.1%   2   59   44.749
 -5   5   3   0.82817   1.2075  5.16381e+02    0.1%   2   59   44.749
  6   4   3   0.81448   1.2278  5.80983e+02    0.1%   2   61   44.009
  3   6   4   0.81448   1.2278  1.07241e+03    0.2%   2   61   44.009
  4   3   6   0.81448   1.2278  7.47041e+02    0.2%   2   61   44.009
  6   3   4   0.81448   1.2278  5.45025e+02    0.1%   2   61   44.009
  4   6   3   0.81448   1.2278  8.35585e+02    0.2%   2   61   44.009
  3   4   6   0.81448   1.2278  9.31974e+02    0.2%   2   61   44.009
  5   6   0   0.81448   1.2278  6.57502e+02    0.1%   2   61   44.009
  6   5   0   0.81448   1.2278  6.53608e+02    0.1%   2   61   44.009
  0   5   6   0.81448   1.2278  6.01573e+02    0.1%   2   61   44.009
  5   0   6   0.81448   1.2278  4.41806e+02    0.1%   2   61   44.009
  0   6   5   0.81448   1.2278  7.00204e+02    0.2%   2   61   44.009
  6   0   5   0.81448   1.2278  4.23308e+02    0.1%   2   61   44.009
  6  -3   4   0.81448   1.2278  5.45014e+02    0.1%   2   61   44.009
  6   4  -3   0.81448   1.2278  5.80983e+02    0.1%   2   61   44.009
 -3   4   6   0.81448   1.2278  9.31975e+02    0.2%   2   61   44.009
  4  -3   6   0.81448   1.2278  7.47037e+02    0.2%   2   61   44.009
 -3   6   4   0.81448   1.2278  1.07242e+03    0.2%   2   61   44.009
  4   6  -3   0.81448   1.2278  8.35585e+02    0.2%   2   61   44.009
  6   3  -4   0.81448   1.2278  5.45025e+02    0.1%   2   61   44.009
  6  -4   3   0.81448   1.2278  5.80970e+02    0.1%   2   61   44.009
 -4   6   3   0.81448   1.2278  8.35583e+02    0.2%   2   61   44.009
 -4   3   6   0.81448   1.2278  7.47037e+02    0.2%   2   61   44.009
  3   6  -4   0.81448   1.2278  1.07241e+03    0.2%   2   61   44.009
  3  -4   6   0.81448   1.2278  9.31975e+02    0.2%   2   61   44.009
  4   3  -6   0.81448   1.2278  7.47041e+02    0.2%   2   61   44.009
  5  -6   0   0.81448   1.2278  6.57488e+02    0.1%   2   61   44.009
  6  -5   0   0.81448   1.2278  6.53593e+02    0.1%   2   61   44.009
  6   0  -5   0.81448   1.2278  4.23308e+02    0.1%   2   61   44.009
 -6   4   3   0.81448   1.2278  5.80970e+02    0.1%   2   61   44.009
  0   5  -6   0.81448   1.2278  6.01573e+02    0.1%   2   61   44.009
  3  -6   4   0.81448   1.2278  1.07242e+03    0.2%   2   61   44.009
  0   6  -5   0.81448   1.2278  7.00204e+02    0.2%   2   61   44.009
  3   4  -6   0.81448   1.2278  9.31974e+02    0.2%   2   61   44.009
  4  -6   3   0.81448   1.2278  8.35583e+02    0.2%   2   61   44.009
 -6   3   4   0.81448   1.2278  5.45014e+02    0.1%   2   61   44.009
  5   0  -6   0.81448   1.2278  4.41806e+02    0.1%   2   61   44.009
  6   1   5   0.80789   1.2378  9.03517e+01    0.0%   2   62   43.653
  3   2   7   0.80789   1.2378  1.56351e+01    0.0%   2   62   43.653
  2   3   7   0.80789   1.2378  8.75810e+00    0.0%   2   62   43.653
  3   7   2   0.80789   1.2378  1.63369e+01    0.0%   2   62   43.653
  7   2   3   0.80789   1.2378  2.61436e+01    0.0%   2   62   43.653
  5   6   1   0.80789   1.2378  3.60745e+01    0.0%   2   62   43.653
  1   6   5   0.80789   1.2378  1.26878e+01    0.0%   2   62   43.653
  5   1   6   0.80789   1.2378  7.70909e+01    0.0%   2   62   43.653
  2   7   3   0.80789   1.2378  1.00385e+01    0.0%   2   62   43.653
  6   5   1   0.80789   1.2378  2.79575e+01    0.0%   2   62   43.653
  1   5   6   0.80789   1.2378  2.14848e+01    0.0%   2   62   43.653
  7   3   2   0.80789   1.2378  2.17224e+01    0.0%   2   62   43.653
  6   5  -1   0.80789   1.2378  2.79575e+01    0.0%   2   62   43.653
  5   6  -1   0.80789   1.2378  3.60745e+01    0.0%   2   62   43.653
  5  -1   6   0.80789   1.2378  7.70922e+01    0.0%   2   62   43.653
 -1   6   5   0.80789   1.2378  1.26880e+01    0.0%   2   62   43.653
 -1   5   6   0.80789   1.2378  2.14851e+01    0.0%   2   62   43.653
  6  -1   5   0.80789   1.2378  9.03537e+01    0.0%   2   62   43.653
  7   3  -2   0.80789   1.2378  2.17224e+01    0.0%   2   62   43.653
 -2   3   7   0.80789   1.2378  8.75788e+00    0.0%   2   62   43.653
 -2   7   3   0.80789   1.2378  1.00384e+01    0.0%   2   62   43.653
  3   7  -2   0.80789   1.2378  1.63369e+01    0.0%   2   62   43.653
  3  -2   7   0.80789   1.2378  1.56338e+01    0.0%   2   62   43.653
  7  -2   3   0.80789   1.2378  2.61437e+01    0.0%   2   62   43.653
 -3   7   2   0.80789   1.2378  1.63370e+01    0.0%   2   62   43.653
  2   7  -3   0.80789   1.2378  1.00385e+01    0.0%   2   62   43.653
  2  -3   7   0.80789   1.2378  8.75788e+00    0.0%   2   62   43.653
 -3   2   7   0.80789   1.2378  1.56338e+01    0.0%   2   62   43.653
  7  -3   2   0.80789   1.2378  2.17230e+01    0.0%   2   62   43.653
  7   2  -3   0.80789   1.2378  2.61436e+01    0.0%   2   62   43.653
  2   3  -7   0.80789   1.2378  8.75810e+00    0.0%   2   62   43.653
 -7   3   2   0.80789   1.2378  2.17230e+01    0.0%   2   62   43.653
 -5   6   1   0.80789   1.2378  3.60758e+01    0.0%   2   62   43.653
 -5   1   6   0.80789   1.2378  7.70922e+01    0.0%   2   62   43.653
  3  -7   2   0.80789   1.2378  1.63370e+01    0.0%   2   62   43.653
  1   6  -5   0.80789   1.2378  1.26878e+01    0.0%   2   62   43.653
  6   1  -5   0.80789   1.2378  9.03517e+01    0.0%   2   62   43.653
  3   2  -7   0.80789   1.2378  1.56351e+01    0.0%   2   62   43.653
 -7   2   3   0.80789   1.2378  2.61437e+01    0.0%   2   62   43.653
  2  -7   3   0.80789   1.2378  1.00384e+01    0.0%   2   62   43.653
  1  -5   6   0.80789   1.2378  2.14851e+01    0.0%   2   62   43.653
  6  -5   1   0.80789   1.2378  2.79605e+01    0.0%   2   62   43.653
 -6   5   1   0.80789   1.2378  2.79605e+01    0.0%   2   62   43.653
  5  -6   1   0.80789   1.2378  3.60758e+01    0.0%   2   62   43.653
  5   1  -6   0.80789   1.2378  7.70909e+01    0.0%   2   62   43.653
 -6   1   5   0.80789   1.2378  9.03537e+01    0.0%   2   62   43.653
  1  -6   5   0.80789   1.2378  1.26880e+01    0.0%   2   62   43.653
  1   5  -6   0.80789   1.2378  2.14848e+01    0.0%   2   62   43.653
  8   0   0   0.79516   1.2576  1.91811e+03    0.4%   2   64   42.965
  0   0   8   0.79516   1.2576  2.94454e+03    0.6%   2   64   42.965
  0   8   0   0.79516   1.2576  2.08807e+03    0.5%   2   64   42.965
  6   2   5   0.78902   1.2674  4.32582e+02    0.1%   2   65   42.634
  2   5   6   0.78902   1.2674  7.76541e+02    0.2%   2   65   42.634
  5   6   2   0.78902   1.2674  5.57172e+02    0.1%   2   65   42.634
  6   5   2   0.78902   1.2674  5.53964e+02    0.1%   2   65   42.634
  2   6   5   0.78902   1.2674  8.00269e+02    0.2%   2   65   42.634
  5   2   6   0.78902   1.2674  4.75764e+02    0.1%   2   65   42.634
  0   4   7   0.78902   1.2674  4.71327e+02    0.1%   2   65   42.634
  4   7   0   0.78902   1.2674  7.18249e+02    0.2%   2   65   42.634
  0   7   4   0.78902   1.2674  6.73274e+02    0.1%   2   65   42.634
  7   0   4   0.78902   1.2674  5.74271e+02    0.1%   2   65   42.634
  7   4   0   0.78902   1.2674  6.42623e+02    0.1%   2   65   42.634
  4   0   7   0.78902   1.2674  5.28828e+02    0.1%   2   65   42.634
  6  -2   5   0.78902   1.2674  4.32576e+02    0.1%   2   65   42.634
  1   8   0   0.78902   1.2674  6.51597e+02    0.1%   2   65   42.634
  1   0   8   0.78902   1.2674  4.53807e+02    0.1%   2   65   42.634
 -2   6   5   0.78902   1.2674  8.00271e+02    0.2%   2   65   42.634
 -2   5   6   0.78902   1.2674  7.76542e+02    0.2%   2   65   42.634
  6   5  -2   0.78902   1.2674  5.53964e+02    0.1%   2   65   42.634
  8   1   0   0.78902   1.2674  7.78578e+02    0.2%   2   65   42.634
  5  -2   6   0.78902   1.2674  4.75757e+02    0.1%   2   65   42.634
